,id,cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius,jalali_date,jalali_year,jalali_month,jalali_day,season,adjust_rent,is_suspect,fake_rent,fake_credit,rent_per_sqm,rent_credit_ratio,location,total_cost,region,building_age,cost_per_sqm,rooms_count_num
9515,28843,residential-rent,apartment-rent,tehran,sadeghiyeh,8/1/2024,,"رهن و اجاره مقداری قابل تبدیل میباشد.
جهت بازدید باشماره
*********** بنام حیدری تماس گرفته شود.
تشکر",ساختمان با مدیریت قوی و تمیز,مقطوع,9000000,,,,,مقطوع,400000000,False,False,400000000,,9000000,,,70,,,3.0,دو,,,True,False,1,1,1381,False,,powerhouse,,,shoofaj,water_cooler,squat,,,,,,,ceramic,,,,,,,,35.72316742,51.34130859,,1403-05-11,1403,5,11,summer,9000000,False,False,False,128571.4286,0.0225,1,34083333.33,2,22,486904.7619,2
5345,22876,residential-rent,apartment-rent,tehran,narmak,7/1/2024,,اجاره اپارتمان بازسازی شده،تخلیه ۲۰ شهریور,اجاره آپارتمان در خیابان خاموشی.تخلیه۲۰ شهریور,مقطوع,10000000,,,,,مقطوع,800000000,False,False,800000000,,10000000,,,70,,,1.0,دو,4.0,1.0,True,False,1,1,1385,True,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,wood_parquet,,,,,,,,35.73017502,51.49935913,,1403-04-11,1403,4,11,summer,10000000,False,False,False,142857.1429,0.0125,1,67500000.0,8,18,964285.7143,2
9264,16821,residential-rent,apartment-rent,tehran,darrous,8/1/2024,مشاور املاک,"به نام خالق هستى
✅مورد اجاره در یکى از فرعى هاى دنج شریعتی/دروس میباشد
✅شیک و خوش نقشه
✅پلان بى نقص
✅غرق در نور

۴طبقه تکواحدی

✅فقط سرویس فرنگی
✅دسترسى عالى به مراکز خرید و اتوبانها
✅همکاران گرامى لطفا تماس نگیرند⛔️

مشاور شما داریوش",۱۴۰ متر ۲خوابه دروس,مقطوع,50000000,,rent_credit,,,مقطوع,550000000,True,True,550000000,800000000.0,50000000,45000000.0,,140,,,1.0,دو,10.0,2.0,True,True,1,1,1389,,,powerhouse,,,shoofaj,water_cooler,seat,,,north,,,,ceramic,,,,,,,,35.76713943,51.44667816,500.0,1403-05-11,1403,5,11,summer,50000000,False,False,False,357142.8571,0.090909091,1,50000000.0,3,14,357142.8571,2
21502,40587,residential-rent,apartment-rent,tehran,azadi-sport-complex,12/1/2024,,"☚              ⚜️املاک بزرگِ برج⚜️       

⚡️عمارتی مجلل و باشکوه در قلب آسمان
⚡️متفاوت با هر آنچه تا اکنون دیده اید
⚡️آپارتمانی تکرار نشدنی در منطقه۲۲
⚡️سازه ای سوپر لوکس و بلند آوازه

✨✨✨

⚡️نگهبانی و لابی من ۲۴ ساعته
⚡️لابی مجلل و درخور تحسین 
⚡️ویو ابدی بینظیر پاناروما
⚡️غرق در نور 

✨✨✨

⚡️با ۲پارکینگ ۱۰ متر انباری و آسانسور
⚡️پلانی زیبا و جذاب
⚡️خوش نقشه واقعی
⚡️تاپ لوکیشن

✨✨✨

⚡️واحد در متراژ های مختلف موجود میباشد
⚡️از بهترین      برجهای    شهرک آفتاب
⚡️لاکچریترین واحد برج با زیباترین ویو
⚡️اولین و بزرگترین املاکِ برج عقیق

❌۳۵ سال حضور درخشان در منطقه ۲۲❌
قابلیت تمدید هرساله بدون مشرف شارژ ۵۰۰ هزار تومان

《آقای قندی》
آدرس دفتر:شهرک چشمه خ چشمه جنوبی نبش اتوبان آزادگان ظلع جنوبی برج عقیق املاک برج

✨✨✨

✅آماده دریافت فایل شما به صورت تلفنی☎
✔مورد های مشابه موجود میباشد ، حتما"" تماس بگیرید⚘️
✅ملک شما را ☚""۳ روزه اجاره میدهیم"" ☚""۷ روزه میفروشیم""

✨✨✨

↔بزرگترین و جامع ترین فایلینگ در منطقه۲۲↔
❌فوری❌          ❌فوری❌          ❌فوری❌
☚             ❌آخرین بازدید شما❌",*کوهک شرقی مُجلل ۱۴۱متر ۳خ مستر ۲تراس ۲پارکینگ*,مقطوع,30000000,,,,,مقطوع,500000000,False,True,500000000,600000000.0,30000000,27000000.0,,140,,,5.0,سه,6.0,4.0,True,True,1,1,1403,True,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,stone,,,,,,,,35.72915649,51.25566483,500.0,1403-09-11,1403,9,11,autumn,30000000,False,False,False,214285.7143,0.06,1,44166666.67,22,0,315476.1905,3
18181,30731,residential-rent,apartment-rent,tehran,ahang,5/1/2024,,"آپارتمان تک واحدی منطقه۱۴_خ نبرد جنوبی خ علامه امینی
۹۵ متر
دو خوابه
تازه بازسازی شده
نورگیر از ۳جهت
محله آرام
اجاره جهت ۳نفر",۹۵مترآپارتمان/۲خواب/تکواحدی/بلوارابوذر علامه امینی,مقطوع,7000000,,,,,مقطوع,1000000000,False,False,1000000000,,7000000,,,95,,,4.0,دو,4.0,1.0,True,True,1,0,1393,True,,package,,,shoofaj,water_cooler,squat_seat,,,unselect,,,,ceramic,,,,,,,,35.65931702,51.48181915,500.0,1403-02-12,1403,2,12,spring,7000000,False,False,False,73684.21053,0.007,1,83916666.67,14,10,883333.3334,2
6179,22532,residential-rent,apartment-rent,tehran,west-tehranpars,12/1/2024,,"با سلام 
فایل مذکور از نمونه فایل های انحصاری مسکن سیوان ۲می باشد
در صورت تمایل به بازدید و اطلاعات بیشتر فقط تماس بگیرید
چت دیوار بسیار شلوغ می باشد
✔️اطلاعات فایل:
✅بسیار خوش نقشه و ممتاز 
✅ساختمانی شخصی ساز 
✅متراژ سندی ۱۵۸ متر
✅سالن بزرگ و پرده خور
✅آشپزخانه :کابینت ها تعویض شده (کابینت های موجود در تصاویر تعویض شده)
✅دارای سه اتاق خواب بزرگ با کمد دیواری عمیق
✅دارای دو سرویس (در ورودی واحد و ورودی درب اتاق خواب ها)
✅اتاق ها نورگیر مستقیم دارد
✅کاملا رو به آفتاب (نورگیر در تمام ساعات روز)
✅سالن الL(مناسب انواع چیدمان تفکیکی)
✅تاسیسات و سیم کشی به تازگی تعویض شده
✅نقاشی شده و رسیدگی های لازم انجام شده 
✅دارای بالکن ،پارکینگ و انباری
✅پارکینگ رو به روی رمپ
✅ساختمان با مشاعات دلنشین و تمیز 
✅دارای موتور خانه (بدون افت فشار آب)
✅ساختمان کم جمعیت و خلوت 
✅واقع در گذر خلوت و دنج
✅خانواده پسند
___________________________________
مسکن سیوان۲ :
خیابان ۱۶۲ غربی /نبش زرین/پلاک: مسکن سیوان۲
مدیریت آقایان یادگاری،سوهانی",۱۶۰متر/عادل زرین/بازسازی/سکونت‌چند ساله/خانواده,مقطوع,35000000,,,,,مقطوع,600000000,False,True,600000000,2000000000.0,35000000,0.0,,160,,,2.0,سه,4.0,1.0,True,False,1,1,1388,True,,powerhouse,,,shoofaj,water_cooler,squat_seat,,,north,,,,stone,,,,,,,,35.73104477,51.52545929,500.0,1403-09-11,1403,9,11,autumn,35000000,False,False,False,218750.0,0.058333333,1,52916666.67,8,15,330729.1667,3
2740,28261,residential-rent,apartment-rent,tehran,niavaran,11/1/2024,,"چهار طبقه تک واحدی
طبقه سوم
پلانی بینظیر
نور شمال جنوب
بدون پرتی
تخلیه
مشاور شما:شاهین",۵۰ متر/یک خوابه/نیاوران جمشیدیه,مقطوع,11000000,,,,,مقطوع,600000000,False,False,600000000,,11000000,,,50,,,3.0,یک,,,,True,0,1,1395,False,,,,,,,,,,,,,,,,,,,,,,35.8131485,51.46614075,,1403-08-11,1403,8,11,autumn,11000000,False,False,False,220000.0,0.018333333,1,50916666.67,1,8,1018333.333,1
11335,25098,residential-rent,apartment-rent,tehran,haftchenar,8/1/2024,مشاور املاک,"واحد ارزنده مناسب زوج و مجرد موجه ✓

چهار طبقه تک واحدی ط اول سندی 
دوم رویتی 

پارکینگ غیر مزاحم سندی 
انباری ، بالکن 

تخلیه ( بازدید آزاد )
سرویس مجزا 

جهت رزرو وقت بازدید تماس حاصل نمایید.
صادقیان",آپارتمان شصت متر / پارکینگ / ط دوم,مقطوع,7000000,,rent_credit,,,مقطوع,250000000,True,True,250000000,450000000.0,7000000,0.0,,60,,,2.0,یک,4.0,1.0,True,False,1,1,1390,True,,package,,,shoofaj,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.67409134,51.36752319,500.0,1403-05-11,1403,5,11,summer,7000000,False,False,False,116666.6667,0.028,1,21416666.67,10,13,356944.4445,1
24987,16487,residential-rent,apartment-rent,tehran,mahmoodiyeh,8/1/2024,مشاور املاک,"آپارتمان ویلا در محیطی دیپلماتیک با آرامش فوق العاده 

تکواحدی

داخل واحد بصورت کامل دیزاین شده 

پارکینگ انباری آسانسور

دسترسی آسان به خیابان یمن ، مقدس اردبیلی و بزرگراه چمران

قابلیت تمدید تا چنن سال",محمودیه ۲۴۰ متر تکواحدی (حوالی جیم),مقطوع,80000000,,rent_credit,,,مقطوع,500000000,False,False,500000000,,80000000,,,240,,,3.0,سه,,,,True,1,1,1380,,,,,,,,,,,,,,,,,,,,,,,35.79531479,51.40842819,500.0,1403-05-11,1403,5,11,summer,80000000,False,False,False,333333.3333,0.16,1,48333333.33,1,23,201388.8889,3
21237,15936,residential-rent,apartment-rent,tehran,jordan,9/1/2024,مشاور املاک,"شمال جردن
۱۰۰ متر 
۲ خواب 
پنجره های قدی با چشم انداز مشجر 
پذیرایی ۴گوش بدون پرتی 
لابی و لابی من ۲۴ ساعته
سرایدار مقیم
روف گاردن مشجر با تمام امکانات رفاهی در روف
موارد مشابه بسیار فقط با یک تماس 
در مناطق الهیه زعفرانیه ولنجک و جردن

بشارتی",شمال جردن ۱۰۰ متر۲ خواب بازدید و قرارداد در یک روز,مقطوع,65000000,,rent_credit,,,مقطوع,200000000,True,True,200000000,2500000000.0,65000000,0.0,,100,,,1.0,دو,,,,True,1,1,1399,,,,,,,,,,,,,,,,,,,,,,,35.76527023,51.41920471,500.0,1403-06-11,1403,6,11,summer,65000000,False,False,False,650000.0,0.325,1,22083333.33,3,4,220833.3333,2
17271,10068,residential-rent,apartment-rent,tehran,niloufar,9/1/2024,,"✅آپارتمان ۱۰۲ متر دو خوابه غرق نور
✅سهروردی شمالی ......
✅پارکینگ ......
✅انباری ........
✅دو خواب بزرگ ....
✅دسترسی عالی ......
✅لوکیشن عالی ......
✅آماده تخلیه ........
⬅️مشاور شما با افتخار ...... صالحی",آپارتمان/۱۰۲ متر/دوخوابه/سهرودی,مقطوع,20000000,,,,,مقطوع,500000000,False,False,500000000,,20000000,,,102,,,3.0,دو,,2.0,False,False,1,1,1382,True,,powerhouse,,,shoofaj,water_cooler,squat_seat,,,south,,,,ceramic,,,,,,,,35.73466873,51.43913269,,1403-06-11,1403,6,11,summer,20000000,False,False,False,196078.4314,0.04,1,43333333.33,7,21,424836.6013,2
19143,40297,residential-rent,apartment-rent,tehran,bagh-feyz,6/1/2024,مشاور املاک,"##### فوری ##### فوری ##### فوری #####

آپارتمان ۹۵ متری 

دو خواب          غرق نور

کابینت های گلس

بهترین لوکیشن منطقه

دارای پارکینگ و انباری و آسانسور و بالکن

قابلیت تمدید چند ساله

دسترسی فوری به اتوبان های اصلی

دسترسی سریع به مراکز خرید

دیدن فایل های مشابه را با ما تجربه کنید

                مشاور شما قلی زاده
                     مسکن امین",۹۵م ۲خ فول خوش نقشه تاپ لوکیشن,مقطوع,7000000,,rent_credit,,,مقطوع,1000000000,True,True,1000000000,500000000.0,7000000,22000000.0,,95,,,5.0,دو,5.0,2.0,True,True,1,1,1395,True,,package,,,shoofaj,water_cooler,squat,,,south,,,,ceramic,,,,,,,,35.75130844,51.31880569,500.0,1403-03-12,1403,3,12,spring,7000000,False,False,False,73684.21053,0.007,1,83916666.67,5,8,883333.3334,2
963,26223,residential-rent,apartment-rent,tehran,shemiran-no,7/1/2024,مشاور املاک,آپارتمان فوق با دسترسی به همه امکانات,۵۰متر یکخوابه ومستقل,مقطوع,7500000,,rent_credit,,,مقطوع,50000000,False,False,50000000,,7500000,,,50,,,1.0,یک,4.0,1.0,False,False,0,0,1395,,,powerhouse,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.7530632,51.50407791,500.0,1403-04-11,1403,4,11,summer,7500000,False,False,False,150000.0,0.15,1,4791666.667,4,8,95833.33334,1
